,Student Name,Department,Physics,Mathematics,Chemistry,AI,Term Work,DOB
88,Romaine Frank,entc,88.0,89.0,57.5,74.0,10,2001-8-22
89,Judy Jeter,entc,9.0,,33.0,13.6,2,2001-9-1
90,Dorothy Smith,entc,45.0,85.0,6.0,97.0,4,2003-4-24
91,Frank Green,entc,40.0,96.0,60.0,37.0,8,2003-6-15
92,Charles Lewis,entc,38.0,25.0,29.0,,7,2003-5-20
93,Johnny Goode,entc,72.0,58.0,40.0,79.0,2,2003-8-2
94,Gregory Coward,entc,38.0,,44.0,42.0,2,2001-4-30
95,Kevin Martinez,comp,55.0,,45.0,34.2,6,2002-7-5
96,Tony Fugate,comp,22.0,56.0,100.0,52.0,2,2001-11-12
97,Monica Jacobs,mech,100.0,43.3,28.0,73.0,2,2002-8-4
98,Chad Ledoux,comp,53.0,67.0,71.7,,7,2001-5-15
99,Annette Biancuzzo,entc,,65.0,22.0,86.0,1,2001-7-20
100,Matilda Long,entc,43.0,95.0,51.0,98.0,8,2003-2-15
101,Ella White,mech,85.0,33.0,37.0,62.0,3,2003-9-14
102,Ricky Robles,comp,,95.0,55.0,26.1,5,2003-6-8
103,Walter Wechsler,mech,52.0,6.0,80.0,72.0,3,2002-11-8
104,Bertha Walker,entc,86.0,60.0,50.0,73.0,3,2002-12-17
105,Joe Crawford,comp,59.0,75.0,62.8,29.5,2,2001-11-13
106,Ismael Chadwell,comp,38.0,6.0,26.0,67.0,7,2001-3-22
107,Robert Neff,comp,99.0,52.6,72.8,54.0,3,2002-6-4
108,Cora Tripp,mech,50.0,21.0,54.0,97.0,4,2003-7-17
109,Sharon Griffin,entc,79.0,22.0,6.0,27.7,10,2003-5-24
110,Dora Bradley,mech,92.0,93.0,91.0,62.0,1,2001-12-28
111,Dustin Stewart,comp,55.0,62.0,29.0,77.0,2,2003-4-22
112,Ronald Simpkins,comp,,,65.9,37.0,6,2003-6-4
113,John Williams,mech,40.0,12.0,237.0,,2,2003-10-18
114,Adrian Holcomb,entc,95.0,86.0,61.3,19.2,3,2003-6-10
115,Robert Swink,comp,50.0,,71.3,58.0,4,2002-11-2
116,Joseph Bertram,comp,44.0,58.0,68.3,,9,2003-3-11
117,Florence Burton,mech,,97.0,99.0,6.6,5,2003-6-16
118,Travis Klein,entc,71.0,,97.0,87.0,10,2002-6-1
119,Marianne Briggs,mech,61.0,49.0,11.0,12.9,4,2002-9-10
120,Marjorie Hefner,comp,,21.0,45.0,28.3,3,2003-8-24
121,Patricia Carman,entc,76.0,60.0,214.0,27.8,2,2003-7-27
122,Sharon Studivant,comp,36.0,87.0,45.0,34.2,7,2002-11-21
123,Cynthia Duchene,mech,4.0,25.0,234.0,10.0,2,2002-8-6
124,Armand Rhone,mech,40.0,50.2,89.0,90.0,10,2001-1-7
125,Benny Borrego,comp,69.0,80.0,63.2,92.0,4,2003-5-1
126,Emanuel Billinghurst,comp,99.0,34.0,24.0,90.0,2,2001-9-3
127,Evon Pemberton,mech,,6.0,45.0,43.0,9,2001-10-19
128,Ann Jacobs,entc,37.0,66.0,66.9,10.9,4,2001-7-11
129,Lorenzo Alvarez,comp,42.0,18.0,61.9,89.0,10,2003-8-9
130,Amanda Koch,mech,,72.0,14.0,,7,2002-1-16
131,Robin Portis,mech,47.0,11.0,68.9,20.9,6,2001-3-22
132,Frances Denson,mech,74.0,,69.2,70.0,3,2003-10-15
133,William Johnson,mech,,,178.0,46.0,3,2002-7-19
134,Kara Plumley,comp,68.0,73.0,47.0,70.0,9,2003-7-29
135,Leone Hopkins,comp,38.0,59.0,90.0,41.0,9,2001-7-25
136,Luis Mackson,mech,93.0,48.2,36.0,,8,2003-8-5
137,Emily Capito,mech,76.0,67.0,79.0,17.6,9,2003-9-4
138,Theresa Kelly,mech,99.0,5.0,43.0,39.0,9,2003-7-29
139,Arcelia Mcbride,entc,,15.0,59.8,71.0,1,2002-4-12
140,James Remington,mech,80.0,76.0,206.0,39.0,5,2002-6-9
141,Gene Page,comp,1.0,77.0,65.6,66.0,2,2001-10-15
142,John Sallas,entc,51.0,,183.0,94.0,3,2001-4-3
143,Sonia Vasko,mech,38.0,68.0,63.8,,8,2002-10-25
144,Peggy Wilkinson,entc,59.0,65.0,52.0,65.0,9,2003-7-21
145,Malinda Masker,mech,57.0,49.6,90.0,99.0,6,2001-2-8
146,Bryan Wilcox,mech,90.0,,43.0,59.0,4,2001-12-7
147,Steve Odell,comp,,79.0,37.0,82.0,2,2003-10-8
148,Bernard Harritt,entc,72.0,84.0,69.8,72.0,8,2003-4-3
149,Anna Staples,entc,,25.0,48.0,24.6,5,2001-4-19
150,Aubrey Bacon,mech,,71.0,42.0,24.3,7,2003-10-9
151,Mellisa Gills,comp,84.0,,80.0,3.7,9,2001-5-17
152,Michael Riney,comp,,83.0,5.0,72.0,8,2002-5-17
153,Stephanie Colman,mech,,11.0,76.0,,10,2002-9-6
154,Charles Deluca,mech,68.0,39.9,80.0,40.0,2,2001-4-1
155,Anne Mclanahan,comp,61.0,65.0,43.0,60.0,10,2001-5-15
156,Mary Lazo,entc,19.0,,63.9,28.5,9,2001-5-1
157,Billy Wideman,comp,70.0,97.0,67.8,28.2,6,2001-11-7
158,Chris Guzman,entc,,,65.2,85.0,6,2003-3-7
159,Joel Collins,entc,73.0,64.0,19.0,2.6,6,2002-1-16
160,Nathan Ross,mech,,,74.1,32.5,4,2003-3-24
161,Elinor Gutierrez,comp,95.0,33.0,96.0,79.0,3,2002-3-26
162,Peter Colburn,entc,38.0,58.0,67.9,10.1,3,2002-10-27
163,Raymond Sanchez,entc,99.0,,50.0,33.5,3,2003-6-11
164,Donald Vance,comp,49.0,23.0,71.9,61.0,8,2002-6-12
165,Scott Levin,mech,38.0,17.0,157.0,16.0,3,2003-1-12
166,Robert Rosamond,entc,70.0,99.0,69.8,61.0,7,2002-9-5
167,Edward Minnick,entc,94.0,,25.0,,4,2003-3-30
168,Charlotte Childress,mech,13.0,69.0,46.0,41.0,1,2001-9-15
169,Patricia Valencia,mech,57.0,7.0,32.0,95.0,4,2001-12-9
170,Michele Ludlam,mech,76.0,37.5,160.0,100.0,4,2003-5-1
171,Jana Landin,comp,96.0,,59.4,89.0,6,2003-3-10
172,Susan Dale,mech,65.0,100.0,16.0,69.0,6,2001-7-14
173,Nicole Spillett,mech,68.0,85.0,60.4,,1,2002-11-1
174,Kenneth Wilson,entc,76.0,75.0,63.2,98.0,3,2001-2-5
175,Patricia Cefalu,mech,75.0,43.3,43.0,62.0,4,2002-10-18
176,Dominique Ewert,entc,68.0,,41.0,39.0,3,2003-2-8
177,Tyisha Mcqueen,comp,96.0,56.0,55.0,88.0,10,2001-3-17
178,Ashley Puckett,comp,29.0,70.0,98.0,93.0,10,2001-2-6
179,Robert Nguyen,entc,41.0,63.0,60.2,46.0,10,2003-11-17
180,Eric Owens,comp,70.0,88.0,40.0,49.0,10,2003-3-12
181,Debra Moore,mech,17.0,58.0,48.0,18.4,9,2002-7-16
182,Stephen Bollinger,comp,65.0,39.8,68.8,44.0,7,2003-6-2
183,Christena Heyer,mech,26.0,44.2,71.3,66.0,5,2001-3-9
184,Angelo Buckley,comp,28.0,54.2,295.0,74.0,2,2003-2-1
185,Rickey Johnson,entc,71.0,35.0,66.6,74.0,10,2003-1-12
186,Sammy Johnson,comp,88.0,89.0,8.0,,6,2002-11-20
187,Darci Daudelin,entc,52.0,97.0,45.0,,1,2003-2-9
188,John Lazar,comp,95.0,92.0,36.0,70.0,2,2003-8-10
189,Matthew Vargas,entc,88.0,27.0,99.0,62.0,1,2003-10-11
190,Jamison Nasworthy,comp,91.0,75.0,4.0,39.0,8,2002-4-7
191,David Lucas,mech,84.0,90.0,10.0,29.3,3,2003-3-8
192,Edward Demelis,entc,86.0,39.6,97.0,91.0,10,2002-10-3
193,Vernita Goodwin,mech,52.0,28.0,68.6,,10,2002-8-12
194,James Gause,mech,73.0,45.2,71.8,66.0,4,2003-5-30
195,Toni Burns,comp,64.0,17.0,15.0,54.0,2,2002-12-6
196,Shelley Armstrong,mech,56.0,53.1,93.0,53.0,4,2001-8-12
197,Steven Herrera,mech,72.0,33.0,100.0,22.7,7,2002-11-26
198,Guillermo Teichmann,mech,80.0,22.0,74.7,99.0,9,2002-5-27
199,Ronald Keller,entc,69.0,84.0,58.6,85.0,6,2002-1-26
200,Warren Rainey,entc,44.0,35.0,64.3,12.3,8,2002-9-2
201,Nobuko Valliere,entc,61.0,39.2,39.0,13.7,4,2001-6-4
202,Roger Chapin,entc,100.0,,41.0,64.0,10,2003-5-17
203,Roberta Page,entc,84.0,66.0,25.0,33.1,10,2001-4-2
204,Barbara Hill,comp,16.0,35.4,36.0,36.0,4,2002-8-13
205,Erin Darrough,mech,45.0,,52.0,59.0,9,2002-12-8
206,Helen Skidmore,mech,8.0,83.0,100.0,59.0,10,2001-4-12
207,Marc Smith,entc,70.0,89.0,6.0,64.0,9,2001-5-10
208,Billie Haug,mech,41.0,87.0,65.1,90.0,2,2001-9-20
209,Richard Anderson,comp,,56.0,161.0,16.5,5,2001-4-20
210,Beverly Mcdonald,mech,43.0,,50.0,,2,2002-6-19
211,John Han,entc,57.0,75.0,38.0,24.5,10,2002-2-15
212,Patricia Gunnerson,mech,66.0,79.0,38.0,69.0,9,2002-3-26
213,Jennifer Francis,entc,74.0,96.0,5.0,22.8,9,2001-12-20
214,Jeremy Reed,mech,70.0,78.0,23.0,25.0,2,2003-5-10
215,Sarah Wojcik,mech,94.0,35.0,41.0,,8,2001-7-3
216,Therese Arehart,mech,,,55.0,62.0,3,2001-10-30
217,Bobby Perez,comp,57.0,99.0,14.0,,3,2003-9-9
218,Mary Bischoff,entc,61.0,45.4,161.0,37.0,8,2002-5-13
219,Ryan Moore,mech,65.0,98.0,61.8,99.0,2,2002-11-12
220,Bruce Romano,mech,74.0,,52.0,81.0,6,2001-10-10
221,Robert Knight,entc,49.0,50.2,100.0,53.0,7,2003-3-17
222,Virginia Williams,entc,36.0,61.0,23.0,66.0,9,2001-3-24
223,Brandi Johnson,mech,69.0,47.7,61.1,18.0,5,2002-4-30
224,Jodi Roby,mech,66.0,56.0,54.0,,8,2001-8-24
225,Mckinley Bryant,comp,54.0,68.0,197.0,77.0,4,2001-4-25
226,Ashley Holiday,comp,38.0,31.0,89.0,30.7,10,2002-1-13
227,Gerardo King,mech,84.0,63.0,207.0,85.0,2,2002-10-16
228,Anastasia Moore,comp,47.0,84.0,15.0,75.0,1,2001-5-17
229,Mandy Mcelroy,comp,78.0,79.0,84.0,,7,2002-12-24
230,Mark Montgomery,mech,47.0,83.0,67.1,,8,2001-4-9
231,Nancy Quick,mech,29.0,88.0,268.0,68.0,3,2002-12-8
232,Lauren Webb,mech,46.0,69.0,62.1,13.6,3,2002-6-4
233,Heather Skidmore,mech,,16.0,38.0,99.0,5,2001-9-8
234,Joe Morton,mech,56.0,68.0,95.0,7.0,4,2001-6-4
235,Octavio Thomas,entc,93.0,20.0,69.1,,5,2001-11-15
236,Jessica Light,comp,53.0,53.8,57.3,42.0,3,2002-3-18
237,Phyllis Cain,comp,88.0,74.0,79.0,,1,2003-11-15
238,James Stiles,mech,63.0,49.6,25.0,94.0,3,2002-5-20
239,David Deel,comp,53.0,71.0,69.4,10.8,10,2001-5-11
240,David Mendez,mech,,28.0,200.0,5.6,3,2002-8-13
241,Christopher Lovett,entc,88.0,,227.0,65.0,1,2002-4-16
242,John Mcentire,entc,33.0,73.0,95.0,18.4,1,2003-6-14
243,Stephanie Harrison,comp,44.0,,231.0,77.0,5,2003-10-30
244,Thomas Duppstadt,mech,48.0,62.0,66.2,,3,2002-10-16
245,Richard Rosado,entc,66.0,25.0,76.0,,4,2002-8-7
246,Kathleen Junker,comp,83.0,18.0,57.2,65.0,3,2002-6-17
247,Philip Adams,comp,43.0,71.0,284.0,64.0,4,2003-9-10
248,Olive Bogner,mech,46.0,23.0,63.9,87.0,1,2001-10-1
249,Leon Mahurin,comp,66.0,12.0,48.0,29.4,3,2003-5-20
250,Jose Stanley,entc,93.0,,57.2,29.4,7,2002-9-6
251,Gary Crowl,comp,61.0,74.0,85.0,,2,2001-4-7
252,Donald Miller,mech,40.0,80.0,39.0,98.0,8,2003-2-14
253,Barry Windom,entc,92.0,50.9,56.7,47.0,5,2002-8-27
254,Patricia Castorena,comp,27.0,100.0,86.0,62.0,8,2001-11-14
255,Sharon Tylwalk,mech,66.0,94.0,48.0,18.7,8,2002-12-15
256,Gregorio Cummins,mech,49.0,19.0,64.6,59.0,7,2001-9-23
257,Carl Smith,mech,,93.0,29.0,95.0,10,2002-3-10
258,Julia Hopper,mech,76.0,97.0,69.6,26.1,7,2002-1-28
259,Thomas Klein,entc,85.0,69.0,51.0,11.6,8,2003-4-5
260,Paul Talley,mech,62.0,,39.0,87.0,10,2001-1-9
261,Robert Gage,entc,67.0,94.0,37.0,8.8,8,2002-12-2
262,Helen Smith,mech,60.0,13.0,2.0,,9,2003-7-14
263,John Mooney,comp,52.0,71.0,166.0,29.9,8,2001-2-11
264,Robert Blansett,entc,52.0,1.0,68.6,80.0,5,2003-10-29
265,Diane Hernandez,mech,60.0,7.0,34.0,70.0,2,2001-12-23
266,Linda Britt,entc,89.0,,47.0,21.8,7,2003-4-14
267,Debra Crowley,mech,39.0,76.0,38.0,,3,2003-2-9
268,Betty Roberts,entc,37.0,38.2,76.0,70.0,5,2001-8-20
269,Jose Sullivan,entc,53.0,65.0,4.0,67.0,4,2001-3-3
270,David Beaudreault,entc,72.0,,5.0,62.0,2,2002-10-23
271,Pauline Taft,comp,83.0,56.0,15.0,47.0,4,2002-5-22
272,Trevor Herd,mech,50.0,7.0,54.0,32.4,2,2003-9-19
273,Heather Piehler,comp,,,51.0,53.0,5,2002-4-30
274,Danielle Members,mech,50.0,16.0,97.0,22.2,9,2002-12-26
275,Sally Perry,mech,27.0,63.0,22.0,100.0,3,2001-6-7
276,Kevin Anderson,comp,87.0,,34.0,70.0,4,2001-3-24
277,Pedro Chan,comp,68.0,65.0,21.0,47.0,8,2003-9-6
278,Evelyn Cianciolo,comp,52.0,54.7,43.0,12.9,2,2001-1-29
279,Nellie Guay,mech,40.0,88.0,53.0,50.0,1,2003-11-28
280,Howard Boersma,mech,6.0,,56.3,24.9,8,2002-3-3
281,Louise Mann,comp,40.0,15.0,27.0,94.0,6,2003-11-4
282,Renee Gibson,entc,39.0,70.0,54.0,72.0,4,2001-9-9
283,Anthony Hernandez,comp,98.0,57.0,6.0,82.0,6,2003-3-19
284,Florence Abplanalp,comp,,44.9,222.0,82.0,4,2003-6-25
285,Kevin Manzano,entc,10.0,60.0,36.0,85.0,3,2002-7-18
286,Janet Painter,mech,84.0,16.0,1.0,64.0,8,2003-9-4
287,Michael Diaz,comp,5.0,9.0,28.0,60.0,7,2003-3-1
288,Amanda Green,entc,21.0,61.0,64.4,,9,2002-6-4
289,Leroy Reno,comp,50.0,33.0,64.6,72.0,7,2002-3-8
290,Jessica Johnson,comp,86.0,63.0,74.0,57.0,4,2001-8-27
291,Christy Olson,comp,,96.0,71.6,49.0,6,2003-3-26
292,Ignacio Cerezo,comp,97.0,70.0,8.0,65.0,8,2002-9-22
293,Freddie Carter,comp,36.0,39.8,57.5,31.9,6,2003-6-3
294,Clifford Field,comp,88.0,72.0,12.0,98.0,7,2002-3-1
295,Sean Hines,mech,55.0,94.0,260.0,84.0,10,2002-2-22
296,Jason Williams,comp,84.0,58.0,43.0,16.4,5,2002-12-7
297,Shirley Mansfield,entc,86.0,6.0,63.6,80.0,3,2002-3-18
298,Frances Murphy,mech,,,281.0,50.0,4,2001-6-9
299,Jennifer Boehle,comp,52.0,32.0,59.1,20.8,2,2001-3-4
300,Grace Jones,entc,,57.0,16.0,51.0,9,2002-8-1
301,William Young,mech,88.0,,99.0,98.0,7,2002-3-15
302,Erma Messersmith,mech,100.0,27.0,165.0,93.0,8,2002-4-27
303,Harry Frazier,mech,51.0,70.0,42.0,47.0,8,2003-3-9
304,Howard Walters,entc,42.0,15.0,97.0,39.0,10,2002-9-8
305,Jessica Jackson,mech,75.0,83.0,36.0,55.0,3,2002-4-24
306,Connie Ruano,mech,41.0,94.0,52.0,71.0,6,2002-4-28
307,Sandy Broglio,comp,47.0,,1.0,73.0,4,2002-9-25
308,Kimberly Bright,comp,49.0,36.5,48.0,,6,2003-9-15
309,Jack Jennings,comp,91.0,64.0,36.0,40.0,10,2001-12-25
310,Norman Barley,comp,54.0,86.0,223.0,81.0,9,2003-11-11
311,Richard Barber,entc,29.0,97.0,73.6,,5,2001-12-30
312,Humberto Wooten,mech,59.0,82.0,64.1,67.0,1,2002-4-13
313,Debra Bruce,mech,41.0,29.0,52.0,,6,2003-12-25
314,Ronald Abernathy,mech,91.0,67.0,36.0,77.0,9,2003-6-12
315,Aaron Schaeffer,entc,,27.0,84.0,17.8,5,2001-3-5
316,Jaime Aguilera,comp,70.0,96.0,74.9,73.0,10,2001-12-30
317,Helen Bischoff,comp,73.0,,2.0,92.0,2,2001-11-28
318,Dorothy Wilkerson,mech,,,50.0,81.0,4,2002-12-13
319,Bernard Boes,mech,,67.0,48.0,73.0,3,2002-11-16
320,Shirley Wells,mech,93.0,27.0,51.0,56.0,10,2002-7-19
321,Steven Johnson,entc,76.0,84.0,52.0,66.0,2,2001-2-8
322,James Best,mech,77.0,,40.0,74.0,2,2003-10-27
323,Ellen Brooks,mech,39.0,89.0,69.8,25.4,1,2003-1-20
324,Nathaniel Workman,comp,56.0,80.0,168.0,70.0,1,2002-5-27
325,William Stewart,comp,90.0,20.0,41.0,45.0,2,2001-7-3
326,Adela Wilson,mech,25.0,81.0,271.0,,9,2003-1-5
327,Norma Kim,mech,,7.0,3.0,30.4,6,2002-2-1
328,Edison Campbell,entc,6.0,60.0,50.0,72.0,1,2002-5-6
329,Francisco Davidson,comp,63.0,60.0,78.0,2.4,5,2002-5-4
330,Ethel Roe,comp,79.0,71.0,74.5,,9,2002-12-25
331,Carlos Velasquez,mech,80.0,71.0,32.0,30.0,4,2002-1-11
332,Susan Harris,comp,,23.0,57.2,,2,2001-3-5
333,Florence Banda,entc,41.0,58.0,36.0,69.0,8,2001-11-15
334,Meagan Mitchell,comp,64.0,6.0,73.0,61.0,8,2003-7-8
335,Patricia Cooper,mech,84.0,75.0,10.0,98.0,3,2002-11-7
336,Gene Wilkinson,mech,45.0,89.0,58.9,71.0,7,2002-4-26
337,Jeffrey Goudy,entc,,,43.0,64.0,9,2001-2-10
338,Martha Bourget,entc,86.0,18.0,11.0,56.0,5,2003-4-24
339,Ronald Dowdy,mech,81.0,17.0,49.0,96.0,8,2001-3-3
340,William Estabillo,entc,77.0,9.0,35.0,39.0,5,2001-3-27
341,Tiffani Blumenthal,mech,,53.1,223.0,75.0,4,2003-10-29
342,Anthony Nix,comp,49.0,45.8,94.0,17.0,2,2003-6-29
343,Tommie Stinser,entc,98.0,1.0,59.6,16.5,10,2003-1-7
344,Angelo Hall,entc,59.0,15.0,37.0,72.0,9,2001-2-24
345,Aaron Dixon,mech,46.0,8.0,58.9,91.0,4,2002-2-17
346,Earl Shay,mech,62.0,65.0,59.3,68.0,2,2001-12-19
347,Gerald Marsala,mech,73.0,,67.2,56.0,2,2003-9-9
348,Charles Bush,comp,69.0,88.0,57.8,90.0,4,2001-1-11
349,William Lee,comp,78.0,86.0,40.0,85.0,3,2003-1-22
350,Rebecca Hoffman,entc,59.0,93.0,44.0,57.0,7,2003-7-9
351,Daniel Case,comp,87.0,86.0,45.0,98.0,4,2001-9-8
352,Delia Kinney,comp,64.0,56.0,79.0,78.0,2,2001-7-18
353,Andrew Williams,entc,1.0,3.0,255.0,80.0,10,2002-9-11
354,Marsha Rayl,entc,87.0,95.0,64.4,96.0,9,2002-1-11
355,Emmanuel Eguia,comp,80.0,87.0,153.0,68.0,7,2001-7-8
356,Beth Vickers,mech,71.0,75.0,51.0,46.0,2,2001-10-23
357,Julia Sotak,mech,69.0,74.0,82.0,56.0,9,2003-7-8
358,John Cook,comp,82.0,47.4,70.6,69.0,1,2003-1-22
359,Kenneth Welch,mech,56.0,13.0,65.2,,7,2003-2-19
360,Alfreda Teague,entc,23.0,65.0,66.3,74.0,5,2001-9-24
361,Robert Poole,mech,64.0,69.0,53.0,21.7,6,2003-5-18
362,Leo Parker,entc,37.0,,55.0,90.0,3,2001-2-18
363,Moshe Holmes,mech,42.0,4.0,11.0,34.2,4,2003-4-11
364,Gary Cloutier,entc,68.0,7.0,21.0,42.0,2,2003-1-15
365,Bessie Pooler,comp,,91.0,18.0,94.0,10,2003-2-2
366,William Mace,entc,42.0,86.0,50.0,17.9,9,2001-6-9
367,Addie Latham,entc,38.0,,81.0,93.0,1,2001-7-3
368,Gabriel Rine,entc,91.0,48.7,215.0,20.7,6,2001-7-13
369,Donetta Balke,mech,97.0,98.0,99.0,70.0,2,2001-7-12
370,Tina Starr,mech,61.0,71.0,184.0,92.0,7,2003-5-25
371,William Hopkins,mech,20.0,7.0,19.0,42.0,4,2003-4-1
372,Chas Wiedemann,entc,3.0,40.9,2.0,77.0,10,2001-3-20
373,Ina Story,mech,92.0,66.0,70.7,92.0,1,2003-8-5
