,Student Name,Department,Physics,Mathematics,Chemistry,AI,Term Work,DOB
27,Shawn Pita,entc,49.0,21.0,57.8,75.0,1,2001-10-2
28,Joyce Saad,mech,78.0,,5.0,25.4,5,2003-2-5
29,Cynthia Hill,mech,83.0,39.5,229.0,29.8,6,2001-11-25
30,Brandon Neville,entc,83.0,56.0,258.0,82.0,7,2003-1-2
31,Regina Matthews,comp,50.0,88.0,3.0,77.0,6,2002-7-25
32,Brittany Aguilar,entc,63.0,85.0,62.3,70.0,6,2002-9-19
33,Lisa Justiss,mech,82.0,72.0,49.0,40.0,7,2001-2-7
34,Roosevelt Howell,entc,74.0,65.0,69.6,6.5,9,2002-5-6
35,Charles Valadez,entc,37.0,40.9,44.0,65.0,4,2003-11-4
36,Mary Mona,comp,93.0,2.0,45.0,86.0,3,2003-1-5
37,Christopher Rosario,comp,83.0,,46.0,89.0,3,2001-12-8
38,Helen Wheeler,mech,48.0,82.0,53.0,91.0,2,2001-3-24
39,Mabel Deleon,entc,94.0,98.0,53.0,69.0,6,2002-11-6
40,Melissa Lanham,comp,63.0,,59.7,91.0,2,2003-8-24
41,Joel Judge,mech,,,96.0,56.0,1,2002-3-12
42,Harry Aguilar,comp,33.0,94.0,35.0,62.0,1,2002-6-30
43,David Joe,entc,32.0,81.0,21.0,33.1,7,2002-6-3
44,Joan Yarmitsky,comp,79.0,28.0,74.5,,2,2002-2-19
45,Thomas Lavin,entc,55.0,66.0,39.0,,10,2003-11-23
46,William Parris,mech,66.0,68.0,69.3,50.0,5,2001-1-22
47,Ernest Adams,entc,59.0,7.0,180.0,38.0,1,2001-6-28
48,Marian Matthews,comp,6.0,100.0,52.0,55.0,7,2002-8-9
49,Patrick Sims,mech,58.0,63.0,43.0,62.0,10,2002-12-17
50,William Albert,entc,70.0,,74.0,53.0,3,2003-11-15
51,Cesar Jones,mech,,82.0,68.9,47.0,6,2003-5-16
52,Carlton Ellis,mech,97.0,69.0,45.0,85.0,2,2003-4-22
53,Ocie Brookshire,mech,72.0,,29.0,70.0,9,2001-9-13
54,Jessica Luker,mech,80.0,93.0,56.3,85.0,1,2003-3-23
55,Alice Stamper,entc,100.0,,48.0,66.0,9,2001-11-18
56,Doris Dunsford,comp,24.0,33.0,45.0,73.0,5,2003-5-7
57,John Hattaway,comp,58.0,11.0,52.0,,1,2003-10-1
58,Pamela Nichols,mech,63.0,57.0,74.1,,2,2002-4-19
59,Vivian Herold,comp,,94.0,69.6,98.0,8,2002-11-6
60,Jeannette Bilger,mech,65.0,35.0,71.5,64.0,8,2001-9-18
61,Charlotte Burgess,mech,86.0,20.0,66.5,66.0,3,2001-8-28
62,Alma Hodge,entc,87.0,87.0,69.5,50.0,9,2003-5-24
63,Kelly Batten,comp,52.0,18.0,67.1,90.0,2,2001-8-10
64,Samantha Kendrick,comp,45.0,97.0,100.0,3.9,6,2002-4-25
65,Barbara Chamberlain,entc,23.0,88.0,73.8,80.0,9,2002-4-23
66,Kathleen Edwards,mech,42.0,61.0,18.0,83.0,1,2002-4-18
67,Fred Michalski,mech,77.0,65.0,78.0,71.0,7,2002-6-25
68,Jasper Horne,comp,,96.0,62.4,,2,2001-4-29
69,Ronald Levitt,comp,39.0,76.0,57.8,65.0,4,2003-8-24
70,Maxine Canady,comp,73.0,90.0,44.0,30.6,10,2003-11-4
71,Iona Simmons,comp,53.0,,66.9,86.0,2,2003-9-12
72,Thomas Asuncion,entc,84.0,57.0,69.0,60.0,8,2002-4-4
73,John Colucci,comp,6.0,68.0,7.0,54.0,8,2002-6-16
74,Adolfo Combs,entc,53.0,91.0,270.0,65.0,8,2003-8-26
75,Tommy Smith,comp,86.0,34.0,33.0,60.0,7,2001-8-25
76,George Siewers,comp,20.0,72.0,5.0,,9,2002-4-4
77,Amanda Johnson,comp,78.0,6.0,62.9,17.0,6,2003-7-22
78,Yong Val,comp,,67.0,4.0,22.5,5,2003-6-21
79,Tracy Council,mech,49.0,,73.7,95.0,9,2003-11-23
80,Brian Cromartie,entc,61.0,35.7,299.0,12.2,9,2002-10-30
81,Victor Toole,entc,33.0,94.0,46.0,76.0,8,2001-1-2
82,Joshua Russell,comp,,82.0,72.7,14.0,5,2002-12-10
83,Nell Byrd,comp,,39.5,54.0,42.0,2,2003-12-11
84,Lisa Greene,entc,57.0,,161.0,66.0,7,2001-2-3
85,Karen Barnes,comp,20.0,95.0,55.0,63.0,9,2003-5-10
86,Jessica Swigart,mech,99.0,71.0,36.0,88.0,1,2002-6-3
87,Lesley Ruybal,entc,82.0,48.5,174.0,66.0,4,2003-11-14
88,Erline Anders,entc,91.0,85.0,26.0,13.4,2,2001-1-20
89,Charles Garcia,entc,77.0,27.0,12.0,36.0,7,2002-4-26
90,Lilly Clark,comp,41.0,57.0,49.0,51.0,1,2002-10-19
91,Frances Bump,comp,26.0,65.0,99.0,3.3,4,2001-8-5
92,Connie Behring,mech,75.0,35.0,38.0,14.6,6,2003-5-28
93,Kevin Lynn,entc,98.0,98.0,93.0,52.0,6,2001-9-16
94,Howard Keys,comp,37.0,1.0,35.0,13.2,4,2001-2-10
95,Joyce Jennings,mech,20.0,91.0,53.0,65.0,9,2003-4-24
96,Blake Cuccia,comp,63.0,,229.0,54.0,10,2002-7-1
97,Calvin Beckstead,comp,56.0,95.0,257.0,100.0,10,2001-2-16
98,Angela Denley,comp,100.0,76.0,98.0,82.0,1,2002-6-2
99,Susan Watson,comp,73.0,41.8,8.0,57.0,5,2001-10-18
100,Jamie Williams,entc,40.0,91.0,19.0,,4,2003-4-18
101,Linda Morrow,entc,,10.0,85.0,74.0,7,2002-6-8
102,Joyce Rodriquez,comp,,80.0,33.0,87.0,5,2001-10-20
103,Russell Robert,mech,100.0,40.3,44.0,96.0,1,2003-4-18
104,Robin Hennessey,comp,66.0,58.0,57.0,22.1,5,2002-12-27
105,Wanda Serrano,mech,91.0,61.0,24.0,28.2,5,2002-6-9
106,Thomas Mcmurray,mech,26.0,83.0,6.0,69.0,4,2003-7-8
107,Naomi Moffitt,mech,64.0,63.0,19.0,8.6,10,2002-2-8
108,Rebecca Alston,entc,39.0,75.0,12.0,58.0,9,2002-10-4
109,Dora Decker,entc,69.0,11.0,85.0,58.0,4,2002-8-23
110,Debra Smith,entc,95.0,12.0,59.9,50.0,5,2001-6-3
111,Lorenzo Holt,comp,49.0,57.0,46.0,66.0,3,2003-9-28
112,Cora Martinez,mech,39.0,62.0,52.0,,3,2001-2-18
113,Linda Ray,comp,40.0,80.0,84.0,61.0,6,2003-1-7
114,Harry Williams,entc,57.0,93.0,91.0,37.0,5,2003-10-16
115,Linda Hudson,entc,82.0,71.0,17.0,64.0,10,2001-3-5
116,Edward Chilton,comp,,20.0,95.0,92.0,7,2002-6-22
117,Linda Feldman,entc,84.0,83.0,196.0,48.0,10,2003-1-17
118,Debra Loffelbein,mech,66.0,46.6,11.0,61.0,9,2002-11-15
119,Carla Anderson,comp,47.0,33.0,32.0,,7,2002-6-3
120,Nancy Blunt,entc,95.0,84.0,98.0,92.0,7,2001-7-23
121,Anita Cruz,mech,,73.0,98.0,95.0,3,2002-2-25
122,Lee Keller,entc,,49.2,39.0,82.0,4,2002-6-16
123,Donald Petersen,comp,91.0,89.0,1.0,66.0,8,2002-11-21
124,Dominick Alvarado,mech,92.0,67.0,19.0,9.6,4,2003-10-17
125,Teresa Wesley,entc,70.0,64.0,45.0,47.0,6,2003-10-3
126,Bernie Hernandez,mech,98.0,30.0,31.0,81.0,4,2002-12-13
127,Jasmine Hollowell,comp,58.0,,70.0,56.0,8,2003-2-6
128,Aaron Tacy,entc,,97.0,24.0,74.0,9,2001-11-29
129,Rose Braaten,entc,98.0,81.0,45.0,79.0,6,2001-1-1
130,Lillian Dennison,entc,88.0,21.0,74.7,22.7,7,2002-10-29
131,Pamela Johnson,entc,,62.0,7.0,,7,2002-10-20
132,Clyde Pacheco,entc,99.0,85.0,53.0,83.0,7,2001-5-13
133,Diane Espinoza,mech,62.0,94.0,32.0,65.0,10,2001-10-25
134,Lorenza Turner,entc,,,70.5,89.0,8,2003-6-10
135,Belinda Brennan,entc,,35.1,41.0,87.0,5,2002-10-9
136,Bobby Ford,mech,45.0,61.0,45.0,100.0,5,2001-3-19
137,Marcos Pinell,entc,50.0,,89.0,,2,2002-10-24
138,Justine Kraus,mech,91.0,50.6,178.0,2.9,4,2001-5-18
139,Stacy Kopple,mech,36.0,89.0,22.0,8.6,10,2003-5-15
140,Katina Moran,comp,40.0,75.0,94.0,82.0,4,2003-11-4
141,Joseph Renaud,mech,36.0,84.0,78.0,,4,2003-4-11
142,Ronald Page,comp,77.0,58.0,179.0,33.5,8,2002-8-13
143,David Wilson,comp,18.0,40.1,6.0,58.0,5,2003-2-23
144,Jefferson Guy,mech,39.0,10.0,5.0,53.0,2,2001-8-7
145,Maria Rodriguez,mech,50.0,68.0,88.0,70.0,1,2001-1-23
146,Melanie Wilson,entc,85.0,,64.3,,5,2002-1-11
147,Donna Ruiz,entc,28.0,,48.0,39.0,9,2001-4-11
148,Kelly Meckes,comp,38.0,59.0,52.0,64.0,10,2003-6-16
149,Jeanette Schoenberger,mech,92.0,96.0,82.0,85.0,3,2003-10-5
150,Mike Baoloy,comp,45.0,74.0,70.5,19.8,7,2001-6-25
151,Mary Kaufmann,comp,70.0,97.0,86.0,,1,2003-4-8
152,Mark Renner,mech,62.0,11.0,54.0,58.0,7,2001-7-27
153,Patrick Baker,mech,42.0,91.0,52.0,62.0,9,2003-4-4
154,Patricia Orr,mech,82.0,44.5,11.0,28.5,7,2003-9-3
155,Robin Turcotte,mech,68.0,57.0,229.0,23.3,1,2001-8-15
156,Robert Vesco,entc,82.0,44.4,256.0,62.0,6,2003-10-3
157,Jonathan Bussey,mech,90.0,5.0,89.0,56.0,2,2001-11-10
158,Gary Berry,entc,13.0,100.0,47.0,79.0,1,2001-10-30
159,Clyde Adams,entc,56.0,5.0,64.0,38.0,1,2003-1-4
160,David Owen,entc,49.0,94.0,25.0,11.8,2,2001-12-8
161,Deena Roderick,comp,41.0,56.0,96.0,26.3,3,2001-12-1
162,Nena Sellers,mech,98.0,16.0,6.0,,2,2001-4-10
163,Debra Walker,entc,8.0,69.0,72.4,83.0,10,2003-12-28
164,Todd Morgan,comp,72.0,,27.0,78.0,9,2002-8-29
165,Teodora Monterio,mech,43.0,85.0,62.7,85.0,5,2002-9-14
166,Maria Farrell,mech,63.0,66.0,53.0,66.0,2,2002-12-18
167,Linda Norton,entc,,69.0,5.0,,5,2003-7-5
168,John Zappa,mech,,83.0,2.0,,5,2002-5-28
169,Danny Manning,entc,41.0,95.0,38.0,99.0,4,2003-12-26
170,Jonathan Compton,entc,93.0,53.6,5.0,15.4,7,2002-2-5
171,Joseph Soza,comp,,2.0,51.0,12.5,6,2002-6-24
172,Stephanie Zamora,mech,36.0,49.7,42.0,45.0,6,2001-11-19
173,Robert Sanchez,entc,,14.0,232.0,37.0,4,2001-4-6
174,Kasey Stitt,entc,66.0,96.0,4.0,,3,2001-5-22
175,Randy Pridemore,comp,46.0,33.0,69.1,94.0,3,2003-5-4
176,Robert Batiste,comp,24.0,79.0,15.0,58.0,10,2002-11-9
177,Harold Hubbs,mech,51.0,83.0,78.0,63.0,1,2001-1-25
178,Frieda May,comp,36.0,,39.0,53.0,1,2003-6-22
179,Michael Matarrita,entc,97.0,18.0,213.0,30.2,6,2001-10-28
180,Carolyn Richards,mech,94.0,70.0,57.7,9.5,7,2003-3-11
181,Johnny Ferrante,entc,36.0,31.0,31.0,6.7,1,2001-12-7
182,Stephen Schwarz,mech,93.0,100.0,81.0,61.0,7,2002-10-22
183,Phyllis Brown,mech,56.0,73.0,21.0,52.0,3,2003-6-17
184,Milton Herman,mech,,3.0,221.0,68.0,6,2002-10-17
185,Cassie Young,entc,64.0,4.0,27.0,60.0,2,2001-3-24
186,Wesley Atherton,comp,87.0,42.1,40.0,89.0,8,2003-8-13
187,Katie Needels,entc,,7.0,60.6,58.0,9,2001-4-25
188,Dale Bolton,mech,,12.0,260.0,41.0,10,2003-12-30
189,Frank Rios,mech,97.0,5.0,257.0,21.9,1,2002-6-9
190,David Hrbacek,mech,84.0,71.0,47.0,43.0,5,2003-7-6
191,Eileen Sweet,comp,71.0,67.0,52.0,76.0,7,2003-4-2
192,Arthur Perez,entc,69.0,11.0,24.0,67.0,2,2002-9-2
193,Charles Water,entc,58.0,,60.3,43.0,6,2002-8-24
194,Alphonso Taylor,mech,42.0,87.0,52.0,69.0,4,2003-12-29
195,Tina Nelson,comp,53.0,65.0,59.7,8.0,3,2002-12-8
196,Lester Crane,entc,39.0,88.0,79.0,59.0,9,2003-12-24
197,Clyde Jimerson,mech,80.0,69.0,36.0,75.0,6,2003-11-1
198,Kevin Lyle,mech,,66.0,42.0,75.0,3,2001-12-10
199,Michael Valentine,entc,51.0,42.8,46.0,82.0,7,2003-1-25
200,Lashawn Chiquito,comp,30.0,28.0,51.0,26.3,4,2001-12-22
201,Micheal Mulloy,entc,50.0,75.0,41.0,40.0,1,2002-11-2
202,Marquis Wheat,comp,10.0,12.0,66.9,63.0,3,2001-8-24
203,Viola Cason,entc,59.0,84.0,59.0,,5,2003-10-19
204,James Singer,comp,82.0,78.0,266.0,79.0,1,2002-6-18
205,Daniel Stoute,mech,43.0,18.0,79.0,,8,2002-6-24
206,Juan Sherman,comp,90.0,,53.0,,2,2003-5-21
207,David Francis,entc,69.0,14.0,2.0,54.0,5,2002-9-7
208,Sally Ryan,comp,84.0,,79.0,37.0,8,2001-2-28
209,Yvonne Lachance,mech,,,62.1,85.0,2,2002-4-17
210,Michelle Barton,comp,,36.4,24.0,8.9,1,2002-1-6
211,Robert Jimenez,mech,45.0,38.6,225.0,71.0,3,2003-6-2
212,Karen Austin,entc,86.0,38.6,62.8,79.0,9,2001-7-6
213,Charlesetta Pool,entc,100.0,75.0,5.0,82.0,6,2002-4-30
214,Jerry Kurter,comp,70.0,83.0,43.0,64.0,5,2003-3-1
215,James Montoya,entc,37.0,,289.0,,6,2001-8-4
216,Frances Brown,mech,43.0,83.0,230.0,74.0,10,2001-12-14
217,Mark Panora,comp,89.0,57.0,31.0,,3,2001-2-3
218,Katrina Peveto,entc,77.0,90.0,69.8,89.0,7,2001-6-6
219,Mark Lenard,entc,79.0,47.8,72.5,79.0,10,2002-6-22
220,Jean Wix,comp,93.0,,25.0,51.0,2,2003-5-7
221,Tamatha Hazelip,comp,58.0,41.8,45.0,24.8,3,2003-2-25
222,Edward Gronlund,entc,46.0,92.0,40.0,,8,2001-11-18
223,Jean Vincent,mech,67.0,90.0,288.0,18.4,10,2001-12-18
224,Jose Figueroa,mech,41.0,38.9,61.8,,8,2002-7-11
225,Patricia Kliebert,entc,86.0,10.0,73.8,66.0,6,2003-3-26
226,Lorraine Silveri,entc,,10.0,278.0,69.0,1,2003-6-1
227,Matthew Sandoval,entc,44.0,85.0,71.2,51.0,6,2002-2-5
228,Rodolfo Merry,mech,46.0,68.0,20.0,87.0,1,2002-10-18
229,James Tollefson,mech,85.0,,76.0,73.0,8,2002-9-25
230,Floyd Poland,entc,53.0,69.0,92.0,66.0,9,2002-4-26
231,Lori Ramon,entc,84.0,3.0,51.0,62.0,2,2001-8-6
232,Catherine Upton,entc,58.0,73.0,41.0,46.0,3,2003-2-8
233,Robert Pollock,comp,51.0,91.0,100.0,31.7,9,2002-11-18
234,Paul Mcalpine,mech,,,14.0,43.0,9,2001-4-11
235,Sidney Goldberg,mech,70.0,66.0,13.0,86.0,6,2001-3-14
236,Alice Martinez,entc,59.0,33.0,73.2,65.0,2,2001-11-30
237,John Baker,mech,85.0,57.0,63.0,68.0,8,2003-5-14
238,Eugene Penya,mech,56.0,67.0,86.0,22.0,8,2003-7-23
239,Charles Purcell,entc,53.0,,57.0,38.0,1,2002-8-29
240,Issac Harner,entc,13.0,63.0,58.0,19.3,9,2002-8-12
241,Antonio Adams,comp,,49.3,98.0,49.0,1,2001-11-21
242,Joseph Coble,entc,69.0,27.0,66.8,,9,2002-12-27
243,Clarence Thomas,comp,75.0,92.0,16.0,99.0,10,2001-6-17
244,Gaynelle Douglas,mech,67.0,87.0,93.0,10.4,6,2001-8-30
245,Robert Esbenshade,entc,,,73.9,6.6,3,2001-3-9
246,Carol Burns,mech,69.0,23.0,54.0,11.5,4,2003-4-4
247,Cinda Perry,mech,67.0,5.0,1.0,90.0,10,2001-6-5
248,Julian Soderberg,mech,76.0,,52.0,55.0,1,2001-10-24
249,Mark Foster,entc,40.0,26.0,76.0,45.0,8,2003-3-29
250,Vince Turnbow,comp,39.0,56.0,60.8,14.6,4,2003-7-20
251,Zoraida Anderson,mech,,47.4,52.0,56.0,2,2001-1-6
252,Iris Saunders,mech,41.0,20.0,35.0,97.0,7,2001-1-2
253,Robert Rasmussen,comp,,62.0,85.0,15.0,1,2003-7-20
254,Alfred Robinson,entc,5.0,10.0,67.7,18.9,2,2002-5-25
255,Aaron Keown,entc,83.0,85.0,25.0,60.0,2,2002-9-16
256,Jeffery Hassan,mech,27.0,62.0,14.0,55.0,4,2002-10-9
257,Mary Rector,mech,14.0,35.0,36.0,32.3,1,2001-11-28
258,Michelle Press,mech,55.0,70.0,39.0,33.9,8,2002-12-17
259,John Minert,mech,63.0,68.0,260.0,9.2,5,2001-5-18
260,Bessie Jones,entc,40.0,73.0,237.0,67.0,4,2003-4-17
261,Eddie Holland,mech,,29.0,87.0,82.0,9,2003-4-29
262,Cecil Justiss,entc,72.0,62.0,22.0,42.0,10,2001-12-9
263,Marianne Gober,entc,81.0,78.0,33.0,,6,2001-11-7
264,Bobby Wright,entc,89.0,,298.0,,8,2002-5-3
265,Johnathan Teeter,comp,86.0,85.0,17.0,91.0,10,2002-3-16
266,Sharon Ramon,entc,,,9.0,,1,2002-5-12
267,Louise Gallegos,mech,80.0,94.0,66.4,13.5,1,2002-4-22
268,Benjamin Rivers,mech,50.0,31.0,99.0,23.3,4,2001-10-27
269,Hillary Buckley,mech,46.0,62.0,56.4,19.5,6,2003-9-29
270,Vincent Dicarlo,comp,37.0,72.0,30.0,,2,2003-8-17
271,Bryan Dusel,entc,37.0,31.0,241.0,55.0,2,2002-6-15
272,Glendora Roberts,comp,74.0,89.0,42.0,,6,2003-10-11
273,Nicole Oliver,mech,68.0,71.0,70.7,15.7,9,2001-4-3
274,April Read,entc,97.0,33.0,2.0,,2,2002-2-2
275,Charles Kelly,mech,52.0,56.0,51.0,25.2,9,2002-8-19
276,Michael Jury,comp,37.0,70.0,26.0,61.0,5,2003-2-10
277,Andrea Norstrom,entc,27.0,93.0,55.0,82.0,5,2002-12-4
278,Dennise Rivera,mech,63.0,74.0,94.0,99.0,7,2002-11-12
279,Javier Jackson,entc,78.0,64.0,35.0,60.0,3,2001-9-8
280,Michael Edward,mech,,33.0,57.9,73.0,9,2002-2-7
281,Ivan Kuhns,mech,61.0,4.0,2.0,96.0,1,2001-9-17
282,James Scott,mech,89.0,86.0,80.0,71.0,4,2001-8-30
283,Gene Kimple,mech,,49.4,74.8,21.8,2,2001-5-2
284,Dallas Stringer,mech,46.0,84.0,98.0,,10,2001-11-6
285,Joseph Hughes,comp,85.0,75.0,72.1,81.0,5,2003-12-28
286,Michael Scoggins,mech,90.0,21.0,69.6,,7,2002-8-7
287,Allegra Moore,comp,56.0,96.0,232.0,44.0,3,2002-1-23
288,Evelyn Foster,comp,40.0,56.0,51.0,62.0,10,2002-2-6
289,John Parrish,entc,5.0,53.4,73.4,42.0,3,2002-12-30
290,Donnie Hester,entc,9.0,62.0,67.4,9.1,1,2002-8-9
291,Patricia Neely,entc,49.0,61.0,87.0,30.0,5,2001-12-28
292,James Krauss,comp,43.0,13.0,72.9,,7,2002-5-29
293,Melissa Armstrong,entc,64.0,,6.0,57.0,4,2002-2-18
294,Gerald Bradshaw,entc,29.0,95.0,67.8,25.5,2,2003-10-20
295,Leslie Brank,mech,,24.0,28.0,,5,2003-2-11
296,Harold Ahr,entc,57.0,79.0,64.2,,8,2001-4-5
297,Latrice Purcell,mech,,49.5,31.0,8.5,3,2002-1-23
298,Daisy Craft,comp,53.0,61.0,45.0,38.0,5,2003-9-5
299,Nichole Langner,entc,,73.0,39.0,59.0,4,2002-12-2
300,Steven Robinson,entc,68.0,93.0,3.0,19.8,1,2002-11-16
301,Kevin Moris,entc,60.0,20.0,9.0,34.8,6,2003-5-2
302,Quinton Roe,mech,79.0,63.0,250.0,14.0,8,2002-6-27
303,Larry Mcgee,mech,70.0,100.0,51.0,75.0,4,2001-2-10
304,Timothy Bierlein,comp,1.0,39.3,100.0,44.0,4,2001-12-9
305,Noel Gibson,entc,82.0,12.0,83.0,72.0,9,2003-9-12
306,Helen Whitmire,entc,56.0,29.0,37.0,97.0,8,2002-12-24
307,Mitchell Nixon,entc,60.0,75.0,73.2,7.7,2,2002-7-28
308,Jody Friou,mech,66.0,85.0,39.0,92.0,3,2002-7-16
309,Clifford Rogan,entc,,22.0,73.8,86.0,5,2003-8-14
310,Olin Burg,entc,48.0,11.0,89.0,82.0,8,2001-5-17
311,Ramon Strader,entc,97.0,16.0,19.0,17.2,2,2001-1-26
312,Aretha Cook,mech,,65.0,53.0,100.0,2,2001-6-19
313,Mary Anderson,comp,59.0,97.0,300.0,68.0,7,2001-4-24
314,Georgianna Schmidt,mech,39.0,67.0,222.0,67.0,7,2002-6-30
315,Lawrence Madho,mech,28.0,58.0,297.0,88.0,8,2003-1-30
316,Geraldine Spaulding,entc,41.0,62.0,288.0,26.0,8,2003-2-10
317,Opal Provencal,comp,13.0,69.0,8.0,,1,2003-4-6
318,William Arroyo,comp,67.0,92.0,87.0,41.0,5,2001-8-30
319,Marie Debois,mech,,62.0,82.0,61.0,5,2003-7-23
320,Jason Mcgill,mech,46.0,30.0,33.0,77.0,8,2001-7-27
321,Justine Simpson,comp,52.0,59.0,98.0,,10,2003-7-15
322,Kim Sargent,entc,87.0,67.0,30.0,88.0,6,2002-7-2
323,Allen Jones,entc,56.0,84.0,187.0,87.0,1,2001-9-23
324,June Arnold,mech,97.0,40.3,52.0,76.0,1,2003-3-21
325,Pamela Green,entc,72.0,,58.6,73.0,1,2001-5-9
326,Liliana Brugman,comp,8.0,98.0,40.0,41.0,7,2003-3-3
327,James Dewitt,entc,50.0,91.0,200.0,24.5,8,2001-6-1
328,Lauren Green,entc,49.0,66.0,37.0,60.0,1,2002-1-8
329,Germaine Robertson,comp,36.0,92.0,72.6,40.0,7,2003-7-28
330,Jon Jackson,comp,73.0,82.0,9.0,62.0,8,2002-2-12
331,Dallas Paul,mech,24.0,73.0,12.0,77.0,8,2002-8-25
332,Brenda Kiehl,mech,69.0,74.0,260.0,36.0,8,2003-7-23
333,Greg Stout,entc,38.0,12.0,54.0,30.7,1,2003-10-8
334,Tess Shapiro,entc,69.0,34.0,23.0,95.0,3,2002-9-12
335,Frank Hampton,mech,4.0,82.0,61.9,39.0,8,2002-4-22
336,Marjorie Kemp,entc,48.0,7.0,198.0,14.2,9,2001-8-19
337,Edward Corona,entc,,78.0,44.0,92.0,3,2003-10-10
338,Rebecca Lindblom,mech,44.0,85.0,61.6,,1,2003-5-4
339,William Kujawski,mech,59.0,19.0,73.0,78.0,9,2002-2-17
340,Arthur Tram,comp,59.0,75.0,56.1,22.4,3,2001-8-5
341,Judy Letko,comp,53.0,77.0,23.0,56.0,4,2002-4-21
342,Chester Weng,mech,58.0,71.0,57.4,,7,2003-1-25
343,Ada Jett,comp,88.0,74.0,39.0,75.0,7,2001-3-28
344,Sheila Harness,mech,70.0,,58.5,14.9,4,2001-11-9
345,Kelly Higgins,entc,44.0,71.0,56.6,81.0,6,2003-7-23
346,Ruth Taylor,mech,77.0,88.0,47.0,97.0,4,2002-11-27
347,Robert Johnston,comp,49.0,60.0,14.0,12.0,8,2001-7-26
348,Clarence Richardson,comp,66.0,,43.0,8.5,2,2001-3-30
349,Ryan Washington,comp,95.0,25.0,47.0,,6,2002-4-25
350,Edith Rowe,mech,96.0,2.0,78.0,,10,2001-2-5
351,Joseph Quezada,entc,92.0,78.0,39.0,95.0,2,2001-11-7
352,Edward Hanley,entc,49.0,82.0,55.0,85.0,6,2002-12-29
353,Darlene Brown,comp,51.0,81.0,5.0,68.0,6,2002-6-18
354,Frederick Armstrong,mech,67.0,88.0,60.0,91.0,10,2002-3-5
355,Dorothy Swee,mech,21.0,73.0,223.0,50.0,3,2001-11-21
356,Audrey Davis,entc,,22.0,175.0,99.0,7,2003-6-29
357,Joshua Martin,entc,59.0,66.0,65.0,17.2,7,2002-7-5
358,Vivian Offerdahl,comp,62.0,,42.0,75.0,8,2002-8-16
359,Susan Ayala,entc,97.0,,97.0,74.0,7,2001-1-9
360,Harry Engelken,comp,72.0,89.0,43.0,16.6,2,2001-9-9
361,Anthony Bluhm,comp,88.0,61.0,227.0,85.0,2,2001-6-26
362,Joseph Korewdit,comp,79.0,29.0,27.0,26.2,5,2002-3-28
363,John Webber,entc,67.0,7.0,49.0,28.8,8,2002-4-4
364,Gerald Mclauglin,entc,70.0,3.0,257.0,4.5,4,2002-8-29
365,David Crossno,mech,64.0,7.0,24.0,43.0,1,2002-6-6
366,Tammy Jimenez,mech,92.0,91.0,70.7,93.0,4,2003-7-17
367,Jay Ma,entc,83.0,95.0,41.0,20.8,3,2001-11-24
368,Barbara Sanders,entc,77.0,59.0,42.0,81.0,2,2002-4-19
369,Jean Osterberg,comp,13.0,67.0,290.0,4.3,6,2002-10-6
370,Henrietta Oliphant,mech,77.0,76.0,8.0,88.0,5,2001-6-18
371,Walter Searcy,mech,59.0,46.3,45.0,76.0,5,2001-10-9
372,Anh Perez,comp,12.0,,45.0,,8,2002-7-6
